Ingrave Street, Clapham Junction@51.467454#-0.172293
Claremont Square, Angel@51.531666#-0.109914
Old Street Station, St. Luke's@51.525726#-0.088486
Salmon Lane, Limehouse@51.514115#-0.033828
Pitfield Street Central, Hoxton@51.53213#-0.08299
South Kensington Station, South Kensington@51.494412#-0.173881
Southwark Station 2, Southwark@51.504044#-0.104778
Phene Street, Chelsea@51.484984#-0.167919
Alfreda Street, Battersea Park@51.47505#-0.150908
Earnshaw Street , Covent Garden@51.516118#-0.128585
South Wharf Road, Paddington@51.517335#-0.17581
Whitehall Place, Strand@51.506543#-0.123179
Portman Square, Marylebone@51.516204#-0.155525
Houndsditch, Aldgate@51.514449#-0.077178
Shoreditch Court, Haggerston@51.539083#-0.070329
South Parade, Chelsea@51.48902#-0.17524
Little Argyll Street, West End@51.514499#-0.141423
Caldwell Street, Stockwell@51.477839#-0.116493
All Saints' Road, Portobello@51.519042#-0.204764
Eaton Square, Belgravia@51.496544#-0.150905
Philpot Street, Whitechapel@51.515256#-0.058641
Globe Town Market, Bethnal Green@51.528869#-0.047548
Lots Road, West Chelsea@51.479573#-0.179038
Percival Street, Finsbury@51.526153#-0.102208
Haggerston Road, Haggerston @51.539328#-0.074284
Mexfield Road, East Putney@51.45682#-0.202802
Belford House, Haggerston@51.536654#-0.07023
Bishop's Bridge Road East, Bayswater@51.5171#-0.18377
Albert Bridge Road, Battersea Park@51.474392#-0.163347
Belgrave Road, Victoria@51.493204#-0.144132
Marylebone Lane, Marylebone@51.514759#-0.148105
River Street , Clerkenwell@51.529163#-0.10997
Clarkson Street, Bethnal Green@51.528692#-0.059091
Clifton Road, Maida Vale@51.525575#-0.179592
Malet Street, Bloomsbury@51.52168#-0.130431
West Cromwell Road, Earl's Court@51.493724#-0.198286
Emperor's Gate, South Kensington@51.495362#-0.185296
Thurtle Road, Haggerston@51.534776#-0.071881
Old Ford Road, Bethnal Green@51.531127#-0.048017
Columbia Road, Shoreditch@51.528187#-0.075375
Aberdeen Place, St. John's Wood@51.524826#-0.176268
Hatton Garden, Holborn@51.518825#-0.108028
Watney Market, Stepney@51.514222#-0.055656
Vincent Square, Westminster@51.493985#-0.136928
Queensdale Road, Shepherd's Bush@51.50659#-0.216104
Carnegie Street, King's Cross@51.535467#-0.116191
Tooley Street, Bermondsey@51.503493#-0.07962
Albert Gardens, Stepney@51.51328#-0.047784
Crisp Road, Hammersmith@51.488108#-0.226606
Saunders Ness Road, Cubitt Town@51.487129#-0.009001
Empire Square, The Borough@51.500823#-0.08974
Wren Street, Holborn@51.524564#-0.116279
Sirdar Road, Avondale@51.510928#-0.214594
Newton Street, Covent Garden@51.516128#-0.120909
Malmesbury Road, Bow@51.529452#-0.027616
Islington Green, Angel@51.536384#-0.102757
Gloucester Road Station, South Kensington@51.494185#-0.18267
Wardour Street, Soho@51.512515#-0.133201
Ampton Street , Clerkenwell@51.52728#-0.118295
Soho Square , Soho@51.515631#-0.132328
Archbishop's Park, Waterloo@51.498241#-0.117495
Union Street, The Borough@51.503688#-0.098497
Stamford Street, South Bank@51.505569#-0.111606
Wapping High Street, Wapping@51.504904#-0.06797
Curlew Street, Shad Thames@51.502279#-0.074189
Driffield Road, Old Ford@51.534137#-0.037366
Endsleigh Gardens, Euston@51.526838#-0.130504
Bermondsey Street, Bermondsey@51.497855#-0.081608
High Holborn , Covent Garden@51.516226#-0.124826
Paddington Street, Marylebone@51.520583#-0.154701
Russell Square Station, Bloomsbury@51.523418#-0.124121
Fashion Street, Whitechapel@51.51838#-0.073438
Exhibition Road, Knightsbridge@51.499917#-0.174554
Sail Street, Vauxhall@51.495656#-0.114605
Bancroft Road, Bethnal Green@51.526041#-0.047218
Bethnal Green Road, Shoreditch@51.523648#-0.074754
Swan Street, The Borough@51.500296#-0.092762
Ada Street, Hackney Central@51.535716#-0.060291
St. Katharine's Way, Tower@51.505697#-0.070542
Chrisp Street Market, Poplar@51.5112#-0.014438
Canton Street, Poplar@51.511811#-0.025626
Crabtree Lane, Fulham@51.482944#-0.219346
William IV Street, Strand@51.509462#-0.124749
Manresa Road, Chelsea@51.486892#-0.170983
Blythe Road West, Shepherd's Bush@51.49968#-0.221791
Regency Street, Westminster@51.49206#-0.132224
